,id,name,cost,position,home_team,away_team,kickoff_time,is_home
124,119,Jeremy Sarmiento Morante,45,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
125,120,Moisés Caicedo Corozo,50,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
126,121,Taylor Richards,45,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
127,122,Haydon Roberts,40,DEF,Man Utd,Brighton,2022-08-07T13:00:00Z,False
128,123,Deniz Undav,55,FWD,Man Utd,Brighton,2022-08-07T13:00:00Z,False
129,124,Kaoru Mitoma,50,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
130,125,Julio Enciso,50,FWD,Man Utd,Brighton,2022-08-07T13:00:00Z,False
131,126,Kacper Kozłowski,45,MID,Man Utd,Brighton,2022-08-07T13:00:00Z,False
132,127,César Azpilicueta,50,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
133,128,Thiago Emiliano da Silva,55,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
134,129,Marcos Alonso,55,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
135,130,Jorge Luiz Frello Filho,60,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
136,131,Ross Barkley,50,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
137,132,Mateo Kovacic,50,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
138,133,Kepa Arrizabalaga,45,GKP,Everton,Chelsea,2022-08-06T16:30:00Z,False
139,134,N'Golo Kanté,50,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
140,135,Hakim Ziyech,60,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
141,136,Ruben Loftus-Cheek,50,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
142,137,Timo Werner,80,FWD,Everton,Chelsea,2022-08-06T16:30:00Z,False
143,138,Robert Kenedy Nunes do Nascimento,40,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
144,139,Ben Chilwell,60,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
145,140,Christian Pulisic,60,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
146,141,Trevoh Chalobah,50,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
147,142,Mason Mount,80,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
148,143,Malang Sarr,50,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
149,144,Callum Hudson-Odoi,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
150,145,Kai Havertz,80,FWD,Everton,Chelsea,2022-08-06T16:30:00Z,False
151,146,Reece James,60,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
